zip,city,state,county,population
01529,Millville,MA,Worcester County,2900
01531,New Braintree,MA,Worcester County,930
01532,Northborough,MA,Worcester County,15200
01534,Northbridge,MA,Worcester County,5850
01535,North Brookfield,MA,Worcester County,4280
01536,North Grafton,MA,Worcester County,7140
01537,North Oxford,MA,Worcester County,2060
01540,Oxford,MA,Worcester County,10020
01541,Princeton,MA,Worcester County,3510
01542,Rochdale,MA,Worcester County,2110
01543,Rutland,MA,Worcester County,9220
01545,Shrewsbury,MA,Worcester County,36430
01550,Southbridge,MA,Worcester County,14830
01560,South Grafton,MA,Worcester County,4400
01562,Spencer,MA,Worcester County,10300
01564,Sterling,MA,Worcester County,7780
01566,Sturbridge,MA,Worcester County,6590
01568,Upton,MA,Worcester County,7970
01569,Uxbridge,MA,Worcester County,13520
01570,Webster,MA,Worcester County,15440
01571,Dudley,MA,Worcester County,10420
01581,Westborough,MA,Worcester County,20070
01583,West Boylston,MA,Worcester County,6780
01585,West Brookfield,MA,Worcester County,3920
01588,Whitinsville,MA,Worcester County,9110
01590,Sutton,MA,Worcester County,9030
01602,Worcester,MA,Worcester County,19870
01603,Worcester,MA,Worcester County,16910
01604,Worcester,MA,Worcester County,30780
01605,Worcester,MA,Worcester County,21710
01606,Worcester,MA,Worcester County,18200
01607,Worcester,MA,Worcester County,7370
01608,Worcester,MA,Worcester County,3320
01609,Worcester,MA,Worcester County,12680
01610,Worcester,MA,Worcester County,15830
01611,Cherry Valley,MA,Worcester County,2040
01612,Paxton,MA,Worcester County,4480
01655,Worcester,MA,Worcester County,0
01701,Framingham,MA,Middlesex County,30890
01702,Framingham,MA,Middlesex County,28120
01718,Acton,MA,Middlesex County,630
01719,Boxborough,MA,Middlesex County,5420
01720,Acton,MA,Middlesex County,22610
01721,Ashland,MA,Middlesex County,17660
01730,Bedford,MA,Middlesex County,13680
01731,Hanscom AFB,MA,Middlesex County,2060
01740,Bolton,MA,Worcester County,5740
01741,Carlisle,MA,Middlesex County,5270
01742,Concord,MA,Middlesex County,17510
01745,Fayville,MA,Worcester County,440
01746,Holliston,MA,Middlesex County,14930
01747,Hopedale,MA,Worcester County,5590
01748,Hopkinton,MA,Middlesex County,19260
01749,Hudson,MA,Middlesex County,18450
01752,Marlborough,MA,Middlesex County,36020
01754,Maynard,MA,Middlesex County,10040
01756,Mendon,MA,Worcester County,6130
01757,Milford,MA,Worcester County,26720
01760,Natick,MA,Middlesex County,34000
01770,Sherborn,MA,Middlesex County,4520
01772,Southborough,MA,Worcester County,10170
01773,Lincoln,MA,Middlesex County,5340
01775,Stow,MA,Middlesex County,7190
01776,Sudbury,MA,Middlesex County,19120
01778,Wayland,MA,Middlesex County,14170
01801,Woburn,MA,Middlesex County,37540
01803,Burlington,MA,Middlesex County,24750
01810,Andover,MA,Essex County,34440
01821,Billerica,MA,Middlesex County,29580
01824,Chelmsford,MA,Middlesex County,26310
01826,Dracut,MA,Middlesex County,30520
01827,Dunstable,MA,Middlesex County,3330
01830,Haverhill,MA,Essex County,23060
01832,Haverhill,MA,Essex County,22260
01833,Georgetown,MA,Essex County,8220
01834,Groveland,MA,Essex County,6360
01835,Haverhill,MA,Essex County,13570
01840,Lawrence,MA,Essex County,5970
01841,Lawrence,MA,Essex County,45000
01843,Lawrence,MA,Essex County,25250
01844,Methuen,MA,Essex County,49360
01845,North Andover,MA,Essex County,28080
01850,Lowell,MA,Middlesex County,13650
01851,Lowell,MA,Middlesex County,28270
01852,Lowell,MA,Middlesex County,29690
01854,Lowell,MA,Middlesex County,19950
01860,Merrimac,MA,Essex County,6450
01862,North Billerica,MA,Middlesex County,10030
01863,North Chelmsford,MA,Middlesex County,8660
01864,North Reading,MA,Middlesex County,15490
01867,Reading,MA,Middlesex County,24800
01876,Tewksbury,MA,Middlesex County,28370
01879,Tyngsboro,MA,Middlesex County,12080
01880,Wakefield,MA,Middlesex County,25300
01886,Westford,MA,Middlesex County,25090
01887,Wilmington,MA,Middlesex County,22490
01890,Winchester,MA,Middlesex County,22510
01901,Lynn,MA,Essex County,2250
01902,Lynn,MA,Essex County,41180
01904,Lynn,MA,Essex County,19330
01905,Lynn,MA,Essex County,24460
01906,Saugus,MA,Essex County,26310
01907,Swampscott,MA,Essex County,14040
01908,Nahant,MA,Essex County,3060
01913,Amesbury,MA,Essex County,15300
01915,Beverly,MA,Essex County,35010
01921,Boxford,MA,Essex County,8030
01922,Byfield,MA,Essex County,3090
01923,Danvers,MA,Essex County,25730
01929,Essex,MA,Essex County,3420
01930,Gloucester,MA,Essex County,25490
01938,Ipswich,MA,Essex County,12870
01940,Lynnfield,MA,Essex County,13060
01944,Manchester,MA,Essex County,4950
01945,Marblehead,MA,Essex County,19780
01949,Middleton,MA,Essex County,8450
01950,Newburyport,MA,Essex County,17090
01951,Newbury,MA,Essex County,3410
01952,Salisbury,MA,Essex County,7870
01960,Peabody,MA,Essex County,47860
01966,Rockport,MA,Essex County,6300
01969,Rowley,MA,Essex County,5990
01970,Salem,MA,Essex County,36530
01982,South Hamilton,MA,Essex County,7160
01983,Topsfield,MA,Essex County,6320
01984,Wenham,MA,Essex County,3830
01985,West Newbury,MA,Essex County,4530
02019,Bellingham,MA,Norfolk County,16230
02021,Canton,MA,Norfolk County,22570
02025,Cohasset,MA,Norfolk County,8240
02026,Dedham,MA,Norfolk County,23170
02030,Dover,MA,Norfolk County,6110
02032,East Walpole,MA,Norfolk County,4680
02035,Foxboro,MA,Norfolk County,17520
02038,Franklin,MA,Norfolk County,31270
02043,Hingham,MA,Plymouth County,23570
02045,Hull,MA,Plymouth County,8730
02048,Mansfield,MA,Bristol County,22410
02050,Marshfield,MA,Plymouth County,23060
02052,Medfield,MA,Norfolk County,13000
02053,Medway,MA,Norfolk County,13050
02054,Millis,MA,Norfolk County,8720
02056,Norfolk,MA,Norfolk County,10540
02061,Norwell,MA,Plymouth County,11330
02062,Norwood,MA,Norfolk County,27680
02066,Scituate,MA,Plymouth County,18130
02067,Sharon,MA,Norfolk County,18440
02071,South Walpole,MA,Norfolk County,970
02072,Stoughton,MA,Norfolk County,26450
02081,Walpole,MA,Norfolk County,19540
02090,Westwood,MA,Norfolk County,16060
02093,Wrentham,MA,Norfolk County,11870
02108,Boston,MA,Suffolk County,3570
02109,Boston,MA,Suffolk County,3470
02110,Boston,MA,Suffolk County,3670
02111,Boston,MA,Suffolk County,5500
02113,Boston,MA,Suffolk County,4760
02114,Boston,MA,Suffolk County,11080
02115,Boston,MA,Suffolk County,8910
02116,Boston,MA,Suffolk County,14310
02118,Boston,MA,Suffolk County,20880
02119,Roxbury,MA,Suffolk County,20710
02120,Roxbury Crossing,MA,Suffolk County,7110
02121,Dorchester,MA,Suffolk County,21760
02122,Dorchester,MA,Suffolk County,19490
02124,Dorchester Center,MA,Suffolk County,40830
02125,Dorchester,MA,Suffolk County,25870
02126,Mattapan,MA,Suffolk County,18970
02127,South Boston,MA,Suffolk County,28090
02128,East Boston,MA,Suffolk County,34540
02129,Charlestown,MA,Suffolk County,15400
02130,Jamaica Plain,MA,Suffolk County,29710
02131,Roslindale,MA,Suffolk County,26260
02132,West Roxbury,MA,Suffolk County,24890
02133,Boston,MA,Suffolk County,0
02134,Allston,MA,Suffolk County,12260
02135,Brighton,MA,Suffolk County,30160
02136,Hyde Park,MA,Suffolk County,30110
02138,Cambridge,MA,Middlesex County,21360
02139,Cambridge,MA,Middlesex County,25560
02140,Cambridge,MA,Middlesex County,17170
02141,Cambridge,MA,Middlesex County,10630
02142,Cambridge,MA,Middlesex County,3230
02143,Somerville,MA,Middlesex County,19510
02144,Somerville,MA,Middlesex County,18200
02145,Somerville,MA,Middlesex County,21780
02148,Malden,MA,Middlesex County,53140
02149,Everett,MA,Middlesex County,37910
02150,Chelsea,MA,Suffolk County,31970
02151,Revere,MA,Suffolk County,50980
02152,Winthrop,MA,Suffolk County,15660
02155,Medford,MA,Middlesex County,48200
02163,Boston,MA,Suffolk County,580
02169,Quincy,MA,Norfolk County,49560
02170,Quincy,MA,Norfolk County,17420
02171,Quincy,MA,Norfolk County,16830
02176,Melrose,MA,Middlesex County,26820
02180,Stoneham,MA,Middlesex County,21720
02184,Braintree,MA,Norfolk County,35120
02186,Milton,MA,Norfolk County,26230
02188,Weymouth,MA,Norfolk County,13000
02189,East Weymouth,MA,Norfolk County,13160
02190,South Weymouth,MA,Norfolk County,17590
02191,North Weymouth,MA,Norfolk County,7520
02199,Boston,MA,Suffolk County,1140
02203,Boston,MA,Suffolk County,0
02210,Boston,MA,Suffolk County,5740
02215,Boston,MA,Suffolk County,7040
02222,Boston,MA,Suffolk County,0
02301,Brockton,MA,Plymouth County,56270
02302,Brockton,MA,Plymouth County,31750
02322,Avon,MA,Norfolk County,4430
02324,Bridgewater,MA,Plymouth County,23190
02330,Carver,MA,Plymouth County,10470
02332,Duxbury,MA,Plymouth County,14700
02333,East Bridgewater,MA,Plymouth County,13490
02338,Halifax,MA,Plymouth County,7330
02339,Hanover,MA,Plymouth County,14700
02341,Hanson,MA,Plymouth County,10000
02343,Holbrook,MA,Norfolk County,10240
