zip,city,state,county,population
22830,Fulks Run,VA,Rockingham County,1480
22831,Hinton,VA,Rockingham County,720
22832,Keezletown,VA,Rockingham County,980
22834,Linville,VA,Rockingham County,1190
22835,Luray,VA,Page County,9860
22840,Mc Gaheysville,VA,Rockingham County,4420
22841,Mount Crawford,VA,Rockingham County,2870
22842,Mount Jackson,VA,Shenandoah County,4500
22843,Mount Solon,VA,Augusta County,2300
22844,New Market,VA,Shenandoah County,3950
22845,Orkney Springs,VA,Shenandoah County,55
22846,Penn Laird,VA,Rockingham County,2230
22847,Quicksburg,VA,Shenandoah County,840
22849,Shenandoah,VA,Page County,4140
22850,Singers Glen,VA,Rockingham County,920
22851,Stanley,VA,Page County,4850
22853,Timberville,VA,Rockingham County,4210
22901,Charlottesville,VA,Albemarle County,32730
22902,Charlottesville,VA,Charlottesville city,19700
22903,Charlottesville,VA,Charlottesville city,26620
22904,Charlottesville,VA,Albemarle County,179
22911,Charlottesville,VA,Albemarle County,19140
22920,Afton,VA,Nelson County,3530
22922,Arrington,VA,Nelson County,1610
22923,Barboursville,VA,Greene County,5480
22931,Covesville,VA,Albemarle County,320
22932,Crozet,VA,Albemarle County,10790
22935,Dyke,VA,Greene County,930
22936,Earlysville,VA,Albemarle County,5560
22937,Esmont,VA,Albemarle County,1130
22938,Faber,VA,Nelson County,1130
22939,Fishersville,VA,Augusta County,6020
22940,Free Union,VA,Albemarle County,1150
22942,Gordonsville,VA,Louisa County,8950
22943,Greenwood,VA,Albemarle County,510
22946,Keene,VA,Albemarle County,180
22947,Keswick,VA,Albemarle County,5190
22948,Locust Dale,VA,Madison County,220
22949,Lovingston,VA,Nelson County,1260
22952,Lyndhurst,VA,Augusta County,1850
22958,Nellysford,VA,Nelson County,1820
22959,North Garden,VA,Albemarle County,1560
22960,Orange,VA,Orange County,9690
22963,Palmyra,VA,Fluvanna County,15910
22964,Piney River,VA,Nelson County,200
22967,Roseland,VA,Nelson County,1920
22968,Ruckersville,VA,Greene County,10710
22969,Schuyler,VA,Albemarle County,1220
22971,Shipman,VA,Nelson County,1410
22972,Somerset,VA,Orange County,430
22973,Stanardsville,VA,Greene County,5550
22974,Troy,VA,Fluvanna County,4360
22976,Tyro,VA,Nelson County,220
22980,Waynesboro,VA,Waynesboro city,30190
23002,Amelia Court House,VA,Amelia County,9870
23004,Arvonia,VA,Buckingham County,760
23005,Ashland,VA,Hanover County,16280
23009,Aylett,VA,King William County,7570
23011,Barhamsville,VA,New Kent County,1030
23014,Beaumont,VA,Powhatan County,0
23015,Beaverdam,VA,Hanover County,4450
23021,Bohannon,VA,Mathews County,200
23022,Bremo Bluff,VA,Fluvanna County,640
23023,Bruington,VA,King and Queen County,300
23024,Bumpass,VA,Louisa County,8730
23025,Cardinal,VA,Mathews County,270
23027,Cartersville,VA,Cumberland County,1220
23030,Charles City,VA,Charles City County,3920
23032,Church View,VA,Middlesex County,210
23035,Cobbs Creek,VA,Mathews County,1310
23038,Columbia,VA,Goochland County,1720
23039,Crozier,VA,Goochland County,1100
23040,Cumberland,VA,Cumberland County,3980
23043,Deltaville,VA,Middlesex County,1550
23045,Diggs,VA,Mathews County,87
23047,Doswell,VA,Hanover County,1940
23050,Dutton,VA,Mathews County,660
23055,Fork Union,VA,Fluvanna County,840
23056,Foster,VA,Mathews County,280
23059,Glen Allen,VA,Henrico County,41080
23060,Glen Allen,VA,Henrico County,36290
23061,Gloucester,VA,Gloucester County,19710
23062,Gloucester Point,VA,Gloucester County,2410
23063,Goochland,VA,Goochland County,4930
23065,Gum Spring,VA,Goochland County,1490
23068,Hallieford,VA,Mathews County,210
23069,Hanover,VA,Hanover County,3110
23070,Hardyville,VA,Middlesex County,410
23071,Hartfield,VA,Middlesex County,1500
23072,Hayes,VA,Gloucester County,10630
23075,Henrico,VA,Henrico County,8530
23076,Hudgins,VA,Mathews County,690
23079,Jamaica,VA,Middlesex County,260
23083,Jetersville,VA,Amelia County,1840
23084,Kents Store,VA,Fluvanna County,1780
23085,King And Queen Court House,VA,King and Queen County,300
23086,King William,VA,King William County,3150
23089,Lanexa,VA,New Kent County,4940
23091,Little Plymouth,VA,King and Queen County,250
23092,Locust Hill,VA,Middlesex County,520
23093,Louisa,VA,Louisa County,13080
23102,Maidens,VA,Goochland County,3040
23103,Manakin Sabot,VA,Goochland County,6560
23106,Manquin,VA,King William County,1170
23108,Mascot,VA,King and Queen County,131
23109,Mathews,VA,Mathews County,1770
23110,Mattaponi,VA,King and Queen County,570
23111,Mechanicsville,VA,Hanover County,35470
23112,Midlothian,VA,Chesterfield County,55760
23113,Midlothian,VA,Chesterfield County,27460
23114,Midlothian,VA,Chesterfield County,21060
23116,Mechanicsville,VA,Hanover County,33930
23117,Mineral,VA,Louisa County,9930
23119,Moon,VA,Mathews County,250
23120,Moseley,VA,Chesterfield County,17600
23123,New Canton,VA,Buckingham County,1360
23124,New Kent,VA,New Kent County,6110
23125,New Point,VA,Mathews County,117
23126,Newtown,VA,King and Queen County,450
23128,North,VA,Mathews County,920
23129,Oilville,VA,Goochland County,430
23130,Onemo,VA,Mathews County,136
23138,Port Haywood,VA,Mathews County,840
23139,Powhatan,VA,Powhatan County,26900
23140,Providence Forge,VA,New Kent County,6330
23141,Quinton,VA,New Kent County,10380
23146,Rockville,VA,Hanover County,3140
23148,Saint Stephens Church,VA,King and Queen County,1340
23149,Saluda,VA,Middlesex County,2260
23150,Sandston,VA,Henrico County,11420
23153,Sandy Hook,VA,Goochland County,1700
23156,Shacklefords,VA,King and Queen County,1400
23160,State Farm,VA,Powhatan County,19
23161,Stevensville,VA,King and Queen County,126
23163,Susan,VA,Mathews County,200
23168,Toano,VA,James City County,9190
23169,Topping,VA,Middlesex County,950
23175,Urbanna,VA,Middlesex County,1690
23176,Wake,VA,Middlesex County,590
23177,Walkerton,VA,King and Queen County,580
23180,Water View,VA,Middlesex County,330
23181,West Point,VA,King William County,5390
23185,Williamsburg,VA,James City County,44140
23188,Williamsburg,VA,James City County,44810
23192,Montpelier,VA,Hanover County,6580
23219,Richmond,VA,Richmond city,3270
23220,Richmond,VA,Richmond city,20140
23221,Richmond,VA,Richmond city,12270
23222,Richmond,VA,Richmond city,20070
23223,Richmond,VA,Henrico County,40780
23224,Richmond,VA,Richmond city,30520
23225,Richmond,VA,Richmond city,32690
23226,Richmond,VA,Richmond city,15490
23227,Richmond,VA,Henrico County,20880
23228,Henrico,VA,Henrico County,30320
23229,Henrico,VA,Henrico County,32310
23230,Richmond,VA,Henrico County,8250
23231,Henrico,VA,Henrico County,33020
23232,Richmond,VA,Richmond City,21
23233,Henrico,VA,Henrico County,30800
23234,Richmond,VA,Chesterfield County,40370
23235,Richmond,VA,Chesterfield County,30500
23236,Richmond,VA,Chesterfield County,26670
23237,Richmond,VA,Chesterfield County,23090
23238,Henrico,VA,Henrico County,24600
23250,Richmond,VA,Henrico County,66
23294,Henrico,VA,Henrico County,15120
23298,Richmond,VA,Richmond City,31
23301,Accomac,VA,Accomack County,1470
23302,Assawoman,VA,Accomack County,153
23303,Atlantic,VA,Accomack County,720
23306,Belle Haven,VA,Accomack County,970
23307,Birdsnest,VA,Northampton County,400
23308,Bloxom,VA,Accomack County,1380
23310,Cape Charles,VA,Northampton County,3240
23314,Carrollton,VA,Isle of Wight County,9230
23315,Carrsville,VA,Isle of Wight County,1300
23320,Chesapeake,VA,Chesapeake city,52280
23321,Chesapeake,VA,Chesapeake city,35090
23322,Chesapeake,VA,Chesapeake city,62990
23323,Chesapeake,VA,Chesapeake city,40650
23324,Chesapeake,VA,Chesapeake city,19420
23325,Chesapeake,VA,Chesapeake city,15290
23336,Chincoteague Island,VA,Accomack County,2840
23337,Wallops Island,VA,Accomack County,430
23345,Davis Wharf,VA,Accomack County,0
23350,Exmore,VA,Northampton County,2510
23354,Franktown,VA,Northampton County,390
23356,Greenbackville,VA,Accomack County,1500
23357,Greenbush,VA,Accomack County,710
23358,Hacksneck,VA,Accomack County,41
23359,Hallwood,VA,Accomack County,500
23395,Horntown,VA,Accomack County,630
23396,Oak Hall,VA,Accomack County,0
23399,Jenkins Bridge,VA,Accomack County,0
23404,Locustville,VA,Accomack County,116
23405,Machipongo,VA,Northampton County,830
23409,Mears,VA,Accomack County,67
23410,Melfa,VA,Accomack County,1870
23415,New Church,VA,Accomack County,1360
23416,Oak Hall,VA,Accomack County,410
23417,Onancock,VA,Accomack County,2990
23418,Onley,VA,Accomack County,1230
23420,Painter,VA,Accomack County,1810
23421,Parksley,VA,Accomack County,3230
23426,Sanford,VA,Accomack County,166
23430,Smithfield,VA,Isle of Wight County,18260
23432,Suffolk,VA,Suffolk city,1540
23433,Suffolk,VA,Suffolk city,1320
23434,Suffolk,VA,Suffolk city,46750
23435,Suffolk,VA,Suffolk city,31320
23436,Suffolk,VA,Suffolk city,970
23437,Suffolk,VA,Suffolk city,4190
23438,Suffolk,VA,Suffolk city,1870
23442,Temperanceville,VA,Accomack County,810
23451,Virginia Beach,VA,Virginia Beach city,37230
23452,Virginia Beach,VA,Virginia Beach city,50920
23453,Virginia Beach,VA,Virginia Beach city,31970
23454,Virginia Beach,VA,Virginia Beach city,51290
23455,Virginia Beach,VA,Virginia Beach city,43300
23456,Virginia Beach,VA,Virginia Beach city,56010
23457,Virginia Beach,VA,Virginia Beach city,4390
23459,Virginia Beach,VA,Virginia Beach city,589
23460,Virginia Beach,VA,Virginia Beach city,865
23461,Virginia Beach,VA,Virginia Beach city,282
23462,Virginia Beach,VA,Virginia Beach city,55630
23464,Virginia Beach,VA,Virginia Beach city,65350
23487,Windsor,VA,Isle of Wight County,5750
23488,Withams,VA,Accomack County,180
23502,Norfolk,VA,Norfolk city,16690
23503,Norfolk,VA,Norfolk city,23560
23504,Norfolk,VA,Norfolk city,14540
23505,Norfolk,VA,Norfolk city,21630
23507,Norfolk,VA,Norfolk city,4690
23508,Norfolk,VA,Norfolk city,12240
23509,Norfolk,VA,Norfolk city,10720
23510,Norfolk,VA,Norfolk city,5990
23511,Norfolk,VA,Norfolk city,1380
23513,Norfolk,VA,Norfolk city,23620
23517,Norfolk,VA,Norfolk city,4010
23518,Norfolk,VA,Norfolk city,26250
23519,Norfolk,VA,Norfolk City,0
23523,Norfolk,VA,Norfolk city,6330
23601,Newport News,VA,Newport News city,21430
23602,Newport News,VA,Newport News city,35750
23603,Newport News,VA,Newport News city,3010
23604,Fort Eustis,VA,Newport News city,2930
23605,Newport News,VA,Newport News city,10840
23606,Newport News,VA,Newport News city,22770
23607,Newport News,VA,Newport News city,15870
23608,Newport News,VA,Newport News city,37510
23651,Fort Monroe,VA,Hampton city,370
23661,Hampton,VA,Hampton city,11380
23662,Poquoson,VA,Poquoson city,12180
23663,Hampton,VA,Hampton city,10880
23664,Hampton,VA,Hampton city,8560
23665,Hampton,VA,York County,4910
23666,Hampton,VA,Hampton city,44630
23669,Hampton,VA,Hampton city,33360
23690,Yorktown,VA,York County,3170
23691,Yorktown,VA,York County,200
23692,Yorktown,VA,York County,18600
23693,Yorktown,VA,York County,23090
23696,Seaford,VA,York County,3770
23701,Portsmouth,VA,Portsmouth city,19780
23702,Portsmouth,VA,Portsmouth city,9410
23703,Portsmouth,VA,Portsmouth city,22330
23704,Portsmouth,VA,Portsmouth city,13790
23707,Portsmouth,VA,Portsmouth city,11460
23708,Portsmouth,VA,Portsmouth city,170
23709,Portsmouth,VA,Portsmouth city,57
23801,Fort Lee,VA,Prince George County,4690
23803,Petersburg,VA,Petersburg city,31850
23805,Petersburg,VA,Petersburg city,16370
23821,Alberta,VA,Brunswick County,1150
23824,Blackstone,VA,Nottoway County,5540
23827,Boykins,VA,Southampton County,1020
23828,Branchville,VA,Southampton County,310
23829,Capron,VA,Southampton County,1000
23830,Carson,VA,Prince George County,1680
23831,Chester,VA,Chesterfield County,34980
23832,Chesterfield,VA,Chesterfield County,39380
23833,Church Road,VA,Dinwiddie County,2000
23834,Colonial Heights,VA,Colonial Heights city,23390
23836,Chester,VA,Chesterfield County,14540
23837,Courtland,VA,Southampton County,3510
23838,Chesterfield,VA,Chesterfield County,17480
23839,Dendron,VA,Surry County,790
23840,Dewitt,VA,Dinwiddie County,1510
23841,Dinwiddie,VA,Dinwiddie County,3230
23842,Disputanta,VA,Prince George County,6890
23843,Dolphin,VA,Brunswick County,470
23844,Drewryville,VA,Southampton County,480
23845,Ebony,VA,Brunswick County,310
23846,Elberon,VA,Surry County,760
23847,Emporia,VA,Greensville County,9860
23850,Ford,VA,Dinwiddie County,920
23851,Franklin,VA,Franklin city,11250
23856,Freeman,VA,Brunswick County,800
23857,Gasburg,VA,Brunswick County,480
23860,Hopewell,VA,Hopewell city,23490
23866,Ivor,VA,Southampton County,1990
23867,Jarratt,VA,Greensville County,1740
23868,Lawrenceville,VA,Brunswick County,3730
23872,Mc Kenney,VA,Dinwiddie County,2060
23874,Newsoms,VA,Southampton County,930
23875,Prince George,VA,Prince George County,11000
23876,Rawlings,VA,Brunswick County,350
23878,Sedley,VA,Southampton County,1070
23879,Skippers,VA,Greensville County,510
23881,Spring Grove,VA,Surry County,1430
23882,Stony Creek,VA,Sussex County,1830
23883,Surry,VA,Surry County,2060
23885,Sutherland,VA,Dinwiddie County,2650
23887,Valentines,VA,Brunswick County,350
23888,Wakefield,VA,Sussex County,1870
23889,Warfield,VA,Brunswick County,460
23890,Waverly,VA,Sussex County,3010
23893,White Plains,VA,Brunswick County,330
23894,Wilsons,VA,Dinwiddie County,650
23897,Yale,VA,Sussex County,400
23898,Zuni,VA,Isle of Wight County,1970
23901,Farmville,VA,Prince Edward County,10510
23915,Baskerville,VA,Mecklenburg County,640
23917,Boydton,VA,Mecklenburg County,2300
23919,Bracey,VA,Mecklenburg County,2190
23920,Brodnax,VA,Brunswick County,2410
23921,Buckingham,VA,Buckingham County,1690
23922,Burkeville,VA,Nottoway County,1660
23923,Charlotte Court House,VA,Charlotte County,1990
23924,Chase City,VA,Mecklenburg County,4320
23927,Clarksville,VA,Mecklenburg County,3750
23930,Crewe,VA,Nottoway County,4420
23934,Cullen,VA,Charlotte County,560
23936,Dillwyn,VA,Buckingham County,4880
23937,Drakes Branch,VA,Charlotte County,1310
23938,Dundas,VA,Brunswick County,390
23942,Green Bay,VA,Prince Edward County,970
23944,Kenbridge,VA,Lunenburg County,3100
23947,Keysville,VA,Charlotte County,3270
23950,La Crosse,VA,Mecklenburg County,2810
23952,Lunenburg,VA,Lunenburg County,190
23954,Meherrin,VA,Prince Edward County,1770
23958,Pamplin,VA,Appomattox County,2730
23959,Phenix,VA,Charlotte County,970
23960,Prospect,VA,Prince Edward County,1470
23962,Randolph,VA,Charlotte County,490
23963,Red House,VA,Charlotte County,430
23964,Red Oak,VA,Charlotte County,850
23966,Rice,VA,Prince Edward County,1850
23967,Saxe,VA,Charlotte County,680
23968,Skipwith,VA,Mecklenburg County,630
23970,South Hill,VA,Mecklenburg County,6700
23974,Victoria,VA,Lunenburg County,3220
23976,Wylliesburg,VA,Charlotte County,210
24011,Roanoke,VA,Roanoke city,640
24012,Roanoke,VA,Roanoke city,24510
24013,Roanoke,VA,Roanoke city,5550
24014,Roanoke,VA,Roanoke city,14240
24015,Roanoke,VA,Roanoke city,13190
24016,Roanoke,VA,Roanoke city,6170
24017,Roanoke,VA,Roanoke city,18600
24018,Roanoke,VA,Roanoke County,36540
24019,Roanoke,VA,Roanoke County,25360
24053,Ararat,VA,Patrick County,1810
24054,Axton,VA,Henry County,4910
24055,Bassett,VA,Henry County,9060
24059,Bent Mountain,VA,Roanoke County,900
24060,Blacksburg,VA,Montgomery County,26170
24064,Blue Ridge,VA,Botetourt County,4600
24065,Boones Mill,VA,Franklin County,5550
24066,Buchanan,VA,Botetourt County,4160
24067,Callaway,VA,Franklin County,1970
24069,Cascade,VA,Pittsylvania County,1540
24070,Catawba,VA,Roanoke County,1250
24072,Check,VA,Floyd County,1220
24073,Christiansburg,VA,Montgomery County,27040
24076,Claudville,VA,Patrick County,790
24077,Cloverdale,VA,Botetourt County,970
24078,Collinsville,VA,Henry County,5770
24079,Copper Hill,VA,Floyd County,1470
24082,Critz,VA,Patrick County,380
24083,Daleville,VA,Botetourt County,4330
24084,Dublin,VA,Pulaski County,8460
24085,Eagle Rock,VA,Botetourt County,1750
24086,Eggleston,VA,Giles County,210
24087,Elliston,VA,Montgomery County,2930
24088,Ferrum,VA,Franklin County,3120
24089,Fieldale,VA,Henry County,1930
24090,Fincastle,VA,Botetourt County,4160
24091,Floyd,VA,Floyd County,6620
24092,Glade Hill,VA,Franklin County,2600
24093,Glen Lyn,VA,Giles County,184
24095,Goodview,VA,Bedford County,3800
24101,Hardy,VA,Franklin County,5850
24102,Henry,VA,Franklin County,1160
24104,Huddleston,VA,Bedford County,3240
24105,Indian Valley,VA,Floyd County,400
24112,Martinsville,VA,Henry County,23240
24120,Meadows Of Dan,VA,Patrick County,1580
24121,Moneta,VA,Bedford County,9950
24122,Montvale,VA,Bedford County,1480
24124,Narrows,VA,Giles County,3460
24127,New Castle,VA,Craig County,3520
24128,Newport,VA,Giles County,1640
24130,Oriskany,VA,Botetourt County,0
24131,Paint Bank,VA,Craig County,86
24133,Patrick Springs,VA,Patrick County,1940
24134,Pearisburg,VA,Giles County,4900
24136,Pembroke,VA,Giles County,2800
24137,Penhook,VA,Franklin County,2080
24138,Pilot,VA,Montgomery County,1320
24139,Pittsville,VA,Pittsylvania County,460
24141,Radford,VA,Radford city,14670
24147,Rich Creek,VA,Giles County,680
24148,Ridgeway,VA,Henry County,6160
24149,Riner,VA,Montgomery County,3370
24150,Ripplemead,VA,Giles County,510
24151,Rocky Mount,VA,Franklin County,15790
24153,Salem,VA,Salem city,32380
24161,Sandy Level,VA,Pittsylvania County,310
24162,Shawsville,VA,Montgomery County,1820
24165,Spencer,VA,Henry County,1370
24167,Staffordsville,VA,Giles County,270
24168,Stanleytown,VA,Henry County,510
24171,Stuart,VA,Patrick County,6200
24174,Thaxton,VA,Bedford County,1950
24175,Troutville,VA,Botetourt County,7610
24176,Union Hall,VA,Franklin County,1400
24179,Vinton,VA,Roanoke County,16550
24184,Wirtz,VA,Franklin County,4130
24185,Woolwine,VA,Patrick County,710
24201,Bristol,VA,Bristol city,11920
24202,Bristol,VA,Washington County,10290
24210,Abingdon,VA,Washington County,12470
24211,Abingdon,VA,Washington County,8430
24216,Appalachia,VA,Wise County,1520
24217,Bee,VA,Dickenson County,200
24219,Big Stone Gap,VA,Wise County,7180
24220,Birchleaf,VA,Dickenson County,490
24221,Blackwater,VA,Lee County,520
24224,Castlewood,VA,Russell County,3920
24225,Cleveland,VA,Russell County,1110
24226,Clinchco,VA,Dickenson County,870
24228,Clintwood,VA,Dickenson County,4510
24230,Coeburn,VA,Wise County,5590
24236,Damascus,VA,Washington County,2080
24237,Dante,VA,Dickenson County,600
24239,Davenport,VA,Buchanan County,300
24243,Dryden,VA,Lee County,1630
24244,Duffield,VA,Scott County,3530
24245,Dungannon,VA,Scott County,660
24248,Ewing,VA,Lee County,1590
24250,Fort Blackmore,VA,Scott County,750
24251,Gate City,VA,Scott County,6560
24256,Haysi,VA,Dickenson County,2070
24258,Hiltons,VA,Scott County,1040
24260,Honaker,VA,Russell County,3660
24263,Jonesville,VA,Lee County,4470
24265,Keokee,VA,Lee County,410
24266,Lebanon,VA,Russell County,7230
24269,Mc Clure,VA,Dickenson County,141
24270,Mendota,VA,Washington County,390
24271,Nickelsville,VA,Scott County,2030
24272,Nora,VA,Dickenson County,290
24273,Norton,VA,Norton city,4370
24277,Pennington Gap,VA,Lee County,3410
24279,Pound,VA,Wise County,2930
24280,Rosedale,VA,Russell County,840
24281,Rose Hill,VA,Lee County,1560
24282,Saint Charles,VA,Lee County,310
24283,Saint Paul,VA,Wise County,1790
24290,Weber City,VA,Scott County,1280
24292,Whitetop,VA,Grayson County,240
24293,Wise,VA,Wise County,7450
24301,Pulaski,VA,Pulaski County,10280
24311,Atkins,VA,Smyth County,1370
24312,Austinville,VA,Carroll County,1750
24313,Barren Springs,VA,Wythe County,730
24314,Bastian,VA,Bland County,1080
24315,Bland,VA,Bland County,2480
24316,Broadford,VA,Tazewell County,75
24317,Cana,VA,Carroll County,2740
24318,Ceres,VA,Bland County,410
24319,Chilhowie,VA,Smyth County,5570
24322,Cripple Creek,VA,Wythe County,166
24323,Crockett,VA,Wythe County,630
24324,Draper,VA,Pulaski County,1760
24325,Dugspur,VA,Carroll County,770
24326,Elk Creek,VA,Grayson County,780
24328,Fancy Gap,VA,Carroll County,1640
24330,Fries,VA,Grayson County,2350
24333,Galax,VA,Galax city,13950
24340,Glade Spring,VA,Washington County,4390
24343,Hillsville,VA,Carroll County,7480
24347,Hiwassee,VA,Pulaski County,1410
24348,Independence,VA,Grayson County,3620
24350,Ivanhoe,VA,Wythe County,890
24351,Lambsburg,VA,Carroll County,420
24352,Laurel Fork,VA,Carroll County,800
24354,Marion,VA,Smyth County,10560
24360,Max Meadows,VA,Wythe County,4730
24361,Meadowview,VA,Washington County,3570
24363,Mouth Of Wilson,VA,Grayson County,940
24366,Rocky Gap,VA,Bland County,720
24368,Rural Retreat,VA,Wythe County,4190
24370,Saltville,VA,Smyth County,4270
24374,Speedwell,VA,Wythe County,570
24375,Sugar Grove,VA,Smyth County,1150
24377,Tannersville,VA,Tazewell County,210
24378,Troutdale,VA,Grayson County,780
24380,Willis,VA,Floyd County,2290
24381,Woodlawn,VA,Carroll County,3150
24382,Wytheville,VA,Wythe County,11360
24401,Staunton,VA,Staunton city,32160
24413,Blue Grass,VA,Highland County,240
24416,Buena Vista,VA,Buena Vista city,6760
24421,Churchville,VA,Augusta County,3360
24422,Clifton Forge,VA,Alleghany County,4540
24426,Covington,VA,Alleghany County,11320
24430,Craigsville,VA,Augusta County,1290
24431,Crimora,VA,Augusta County,2400
24432,Deerfield,VA,Augusta County,310
24433,Doe Hill,VA,Highland County,141
24435,Fairfield,VA,Rockbridge County,1590
24437,Fort Defiance,VA,Augusta County,940
24439,Goshen,VA,Rockbridge County,840
24440,Greenville,VA,Augusta County,2380
24441,Grottoes,VA,Rockingham County,6060
24442,Head Waters,VA,Highland County,83
24445,Hot Springs,VA,Bath County,2030
24450,Lexington,VA,Rockbridge County,12720
24458,Mc Dowell,VA,Highland County,310
24459,Middlebrook,VA,Augusta County,730
24460,Millboro,VA,Bath County,1270
24464,Montebello,VA,Nelson County,110
24465,Monterey,VA,Highland County,1110
24467,Mount Sidney,VA,Augusta County,2060
24471,Port Republic,VA,Rockingham County,1360
24472,Raphine,VA,Rockbridge County,2060
24473,Rockbridge Baths,VA,Rockbridge County,790
24476,Steeles Tavern,VA,Augusta County,340
24477,Stuarts Draft,VA,Augusta County,10650
24479,Swoope,VA,Augusta County,1430
24482,Verona,VA,Augusta County,4250
24483,Vesuvius,VA,Rockbridge County,500
24484,Warm Springs,VA,Bath County,620
24485,West Augusta,VA,Augusta County,340
24486,Weyers Cave,VA,Augusta County,3680
24487,Williamsville,VA,Bath County,230
24501,Lynchburg,VA,Lynchburg city,19200
24502,Lynchburg,VA,Lynchburg city,33110
24503,Lynchburg,VA,Lynchburg city,17900
24504,Lynchburg,VA,Lynchburg city,7470
24517,Altavista,VA,Campbell County,4710
24520,Alton,VA,Halifax County,1870
24521,Amherst,VA,Amherst County,8500
24522,Appomattox,VA,Appomattox County,9320
24523,Bedford,VA,Bedford County,16260
24526,Big Island,VA,Bedford County,1210
24527,Blairs,VA,Pittsylvania County,2420
24528,Brookneal,VA,Campbell County,2510
24529,Buffalo Junction,VA,Mecklenburg County,1290
24530,Callands,VA,Pittsylvania County,870
24531,Chatham,VA,Pittsylvania County,6340
24534,Clover,VA,Halifax County,1230
24536,Coleman Falls,VA,Bedford County,220
24538,Concord,VA,Campbell County,4390
24539,Crystal Hill,VA,Halifax County,212
24540,Danville,VA,Danville city,24240
24541,Danville,VA,Danville city,20700
24549,Dry Fork,VA,Pittsylvania County,3420
24550,Evington,VA,Campbell County,6870
24551,Forest,VA,Bedford County,25210
24553,Gladstone,VA,Appomattox County,1510
24554,Gladys,VA,Campbell County,3090
24555,Glasgow,VA,Rockbridge County,1520
24556,Goode,VA,Bedford County,3250
24557,Gretna,VA,Pittsylvania County,5990
24558,Halifax,VA,Halifax County,5180
24562,Howardsville,VA,Buckingham County,360
24563,Hurt,VA,Pittsylvania County,4270
24565,Java,VA,Pittsylvania County,700
24566,Keeling,VA,Pittsylvania County,1160
24569,Long Island,VA,Pittsylvania County,760
24570,Lowry,VA,Bedford County,72
24571,Lynch Station,VA,Campbell County,1610
24572,Madison Heights,VA,Amherst County,14220
24574,Monroe,VA,Amherst County,3260
24577,Nathalie,VA,Halifax County,3920
24578,Natural Bridge,VA,Rockbridge County,870
24579,Natural Bridge Station,VA,Rockbridge County,1080
24580,Nelson,VA,Mecklenburg County,540
24581,Norwood,VA,Nelson County,0
24586,Ringgold,VA,Pittsylvania County,4400
24588,Rustburg,VA,Campbell County,8240
24589,Scottsburg,VA,Halifax County,1620
24590,Scottsville,VA,Fluvanna County,7150
24592,South Boston,VA,Halifax County,10600
24593,Spout Spring,VA,Appomattox County,2000
24594,Sutherlin,VA,Pittsylvania County,1350
24597,Vernon Hill,VA,Halifax County,920
24598,Virgilina,VA,Halifax County,1460
24599,Wingina,VA,Buckingham County,510
24602,Bandy,VA,Tazewell County,490
24603,Big Rock,VA,Buchanan County,560
24605,Bluefield,VA,Tazewell County,6690
24609,Cedar Bluff,VA,Tazewell County,5020
24613,Falls Mills,VA,Tazewell County,660
24614,Grundy,VA,Buchanan County,4660
24620,Hurley,VA,Buchanan County,1290
24622,Jewell Ridge,VA,Buchanan County,480
24628,Maxie,VA,Buchanan County,370
24630,North Tazewell,VA,Tazewell County,4900
24631,Oakwood,VA,Buchanan County,750
24634,Pilgrims Knob,VA,Buchanan County,330
24637,Pounding Mill,VA,Tazewell County,2920
24639,Raven,VA,Tazewell County,1910
24641,Richlands,VA,Tazewell County,3800
24646,Rowe,VA,Buchanan County,390
24649,Swords Creek,VA,Russell County,1380
24651,Tazewell,VA,Tazewell County,4330
24656,Vansant,VA,Buchanan County,2050
24657,Whitewood,VA,Buchanan County,271
24701,Bluefield,WV,Mercer County,14650
24712,Athens,WV,Mercer County,1420
24714,Beeson,WV,Mercer County,121
24715,Bramwell,WV,Mercer County,310
24724,Freeman,WV,Mercer County,109
24726,Herndon,WV,Wyoming County,340
24731,Kegley,WV,Mercer County,290
24733,Lashmeet,WV,Mercer County,670
24736,Matoaka,WV,Mercer County,390
24739,Princeton,WV,Mercer County,53
24740,Princeton,WV,Mercer County,12700
24747,Rock,WV,Mercer County,1820
24801,Welch,WV,McDowell County,2270
24808,Anawalt,WV,McDowell County,300
24815,Berwind,WV,McDowell County,200
24818,Brenton,WV,Wyoming County,760
24822,Clear Fork,WV,Wyoming County,560
24823,Coal Mountain,WV,Wyoming County,220
24827,Cyclone,WV,Wyoming County,790
24828,Davy,WV,McDowell County,430
24829,Eckman,WV,McDowell County,118
24830,Elbert,WV,McDowell County,111
24831,Elkhorn,WV,McDowell County,110
24839,Hanover,WV,Wyoming County,660
24844,Iaeger,WV,McDowell County,1110
24846,Isaban,WV,Mingo County,144
24849,Jesse,WV,Wyoming County,230
24850,Jolo,WV,McDowell County,550
24855,Kyle,WV,McDowell County,54
24860,Matheny,WV,Wyoming County,340
24862,Mohawk,WV,McDowell County,260
24868,Northfork,WV,McDowell County,640
24869,North Spring,WV,Wyoming County,179
24870,Oceana,WV,Wyoming County,2600
24872,Panther,WV,McDowell County,500
24873,Paynesville,WV,McDowell County,350
24874,Pineville,WV,Wyoming County,2090
24879,Raysal,WV,McDowell County,260
24880,Rock View,WV,Wyoming County,200
24882,Simon,WV,Wyoming County,260
24884,Squire,WV,McDowell County,206
